    0.337750533417852257E-03    0.106344764314914533E+00   -0.504297029972076416E+01    0.272695428133010864E+03    0.167550301551818848E+01    0.187918424606323242E+00   -0.490756157636642421E+01   -0.555760355591773969E+01   -0.156244808435439531E+00   -0.528354531526565552E+01    0.695294102294289874-309
    0.482760175755078125E+00    0.359059649108404335E-04   -0.807461500167846680E+00    0.185052326321601868E+03   -0.194782662391662598E+01   -0.232518196105957031E+00   -0.534687728881835866E+01   -0.546930193305015599E+01   -0.635698878765106201E+01   -0.698980515599250829E+01    0.695294102294289874-309
    0.397977174898277511E-02    0.421555773364270842E-04   -0.232327401638031006E+01    0.341153448820114136E+03   -0.304713964462280273E+00    0.236942481994628906E+01   -0.444565904140471702E+00   -0.502830707430839574E+01   -0.694263743758201635E+01   -0.573595187067985535E+01    0.695294102294289874-309
    0.386653651457024294E+00    0.416497668453944764E-04   -0.535861802101135254E+01    0.127585178613662720E+03    0.227889776229858398E+00    0.256739723682403564E+01   -0.175794883370399457E+01   -0.105529034137725297E+00   -0.688247163891792280E+01   -0.327317399978637713E+01    0.695294102294289874-309
    0.485473147926153140E-05    0.277045902960139847E-04   -0.217896401882171631E+01    0.213088905811309814E+03    0.148927688598632812E+00    0.295131433010101318E+01   -0.669238625168800372E+01   -0.353692898750305140E+01   -0.414779308438301086E+01   -0.305826795101165061E+00    0.695294102294289874-309
    0.189257508183560269E+00    0.263232979550823643E+00   -0.757381439208984375E+00    0.290020710229873657E+03    0.339713215827941895E+00    0.194089365005493164E+01   -0.267498872876167315E+01   -0.686587276458740270E+01   -0.394527702331542951E+01   -0.514109899401664716E+01    0.695294102294289874-309
    0.878145421909037054E-05    0.856158407432270341E-01   -0.133129692077636719E+01    0.254852092266082764E+03   -0.239912724494934082E+01    0.234762382507324219E+01   -0.656875569224357569E+01   -0.912791562080382590E+00   -0.683755329847335780E+01   -0.380280715823173487E+01    0.695294102294289874-309
    0.250445842792895335E+00    0.657154677535836812E-01   -0.504913222789764404E+01    0.278892612457275391E+03    0.101447474956512451E+01   -0.249005520343780518E+01   -0.615648148655891436E+01   -0.822322493791579845E+00   -0.144751960635185206E+01   -0.196106997132301331E+01    0.695294102294289874-309
    0.168337699531597752E-02    0.109179058095701456E-01   -0.233313095569610596E+01    0.247515743970870972E+03   -0.242771494388580322E+01   -0.722773432731628418E+00   -0.346243111491203326E+01   -0.132783970236778259E+01   -0.370483514070510811E+01   -0.494141619801521337E+01    0.695294102294289874-309
    0.447319630118286293E+00    0.271916677110914406E-03   -0.530081033706665039E+00    0.240299975872039795E+03   -0.242339694499969482E+01   -0.214026761054992676E+01   -0.553384829759597707E+01   -0.634528797268867528E+01   -0.570174126625061017E+01   -0.184612802863120962E+01    0.695294102294289874-309
    0.201010655570279360E-05    0.117827942169872741E-03   -0.498380827903747559E+01    0.129307827353477478E+03    0.528129816055297852E+00   -0.765372991561889648E+00   -0.308183090090751666E+01   -0.224318020343780500E+01   -0.736058617830276507E+01   -0.139226853847503662E+00    0.695294102294289874-309
    0.319935345640578041E-04    0.534827423595249027E-02   -0.342904222011566162E+01    0.346510505676269531E+03   -0.125128698348999023E+01    0.118318927288055420E+01   -0.725416098237037676E+01   -0.391231235861778259E+01   -0.515333001613616926E+01   -0.386679148674010875E+00    0.695294102294289874-309
    0.102192205534903046E-02    0.288224875073220706E-01   -0.118955361843109131E+01    0.291211685538291931E+03   -0.193866026401519775E+01    0.230933332443237305E+01   -0.132987012267112714E+01   -0.475874947309494001E+01   -0.675144596099853533E+01   -0.576937752366066015E+01    0.695294102294289874-309
    0.117081361324343103E+00    0.763772915201217564E-02   -0.596844470500946045E+01    0.113040199875831604E+03   -0.462664604187011719E+00   -0.181725347042083740E+01   -0.671731964349746669E+01   -0.275569699406623858E+01   -0.435243327021598780E+01   -0.749243118166923505E+01    0.695294102294289874-309
    0.239355132570448063E-04    0.274077035533188491E-03   -0.350691676139831543E+01    0.297393164038658142E+03   -0.135176503658294678E+01    0.207894086837768555E+01   -0.617115635871887225E+01   -0.572570841908454931E+01   -0.513819933533668483E+01   -0.490592998862266505E+01    0.695294102294289874-309
