    0.253168434775153162E+00    0.783214638995969437E+00   -0.100618129470375495E+01   -0.149499515467606425E+01    0.447593597670899214E+03    0.884256794542121694E+00    0.745376091887276049E+00   -0.524270216525704047E+01    0.649444845063938070E+00   -0.137659848028758613E+01   -0.125257228242199670E+01   -0.774872262126543188E+01   -0.200721518569165358E+01    0.288234209108826253E+05
    0.647677134737378385E-04    0.206846028516546205E-04   -0.532460362208315496E+00   -0.453646400563504937E+01    0.479316605732024300E+03    0.873016047034575360E+00    0.150188948847756243E+01   -0.524481758505383588E+01    0.747546107873623411E+00   -0.840128296127723218E+00   -0.793440098477851397E+01   -0.268033466746720972E+01   -0.666209105368055798E+01    0.288244472836910281E+05
    0.475642262770333349E-03    0.136656662338525909E-05    0.153337717104403026E+00   -0.240699433081438707E+01    0.499505784987854952E+03    0.583723238666016608E+00    0.385990628356063403E+00   -0.541050657040939686E+01    0.707001741081435986E+00   -0.334282819379751039E+01   -0.681965986107119715E+01   -0.384730515088719560E+01   -0.622820033443746279E+01    0.288244767751624968E+05
    0.520634673205771951E-05    0.343786503919662730E-03    0.797876847693972380E-01   -0.368132230755479206E+01    0.434051725969552535E+03    0.768585722808361016E+00    0.106714253660346259E+01   -0.555754818825665975E+01    0.775375454717987411E+00   -0.270539739043129845E+01   -0.358276699901133000E+01   -0.437876134412976192E+01   -0.593251930671823580E+01    0.288250725619081786E+05
    0.121937995905631389E-05    0.274984439757442856E+00    0.694620466503445222E+00   -0.144939617499269069E+01    0.445054337102050283E+03    0.898295474922183423E+00    0.170182144332897045E+01   -0.588587617498367788E+01    0.613425287357295401E+00   -0.342812790072332252E+01   -0.605759523111398046E+01   -0.727608601885553075E+01   -0.776900398681545390E+01    0.288251289927660146E+05
    0.734057631431493778E-05    0.233222156066451081E+00   -0.366961505317626724E+00   -0.400093228451820515E+01    0.474666142471697412E+03    0.648500399822926621E+00    0.100072727559357366E+01   -0.533879033164074634E+01    0.755370295396099678E+00   -0.308323444573791683E+01   -0.361812505405613383E+01   -0.390629079916334376E+01   -0.521492159674688516E+01    0.288252778141518138E+05
    0.726089740077381858E-04    0.370260826509687321E-01   -0.356824077674691154E-01   -0.401314483889119877E+01    0.449030947985382170E+03    0.690803973633020596E+00    0.123546397419002485E+01   -0.587612776340548493E+01    0.728635708137372884E+00   -0.244597867901527355E+01   -0.565456555180880116E+01   -0.307610281474537572E+01   -0.596436270028736804E+01    0.288254753428155600E+05
    0.187581361757656734E-05    0.554388827459775468E+00    0.691102230340900903E-02   -0.231910557421510788E+01    0.410392058734702061E+03    0.980199622727207398E+00    0.121906945815037115E+01   -0.564036017239595200E+01    0.670625162411723541E+00   -0.256925723877414303E+01   -0.488022030862950551E+01   -0.378311617358926089E+01   -0.754861847591496904E+01    0.288259394513733823E+05
    0.169348861777106687E-05    0.235745295210772508E-03   -0.210080168855015348E+00   -0.418104792634748534E+01    0.423002497875103529E+03    0.769297088134880291E+00    0.188520769255781140E+01   -0.580205174883710662E+01    0.786012655741355704E+00   -0.187454603469887005E+01   -0.359471924851252300E+01   -0.377274586369997067E+01   -0.599283987722267764E+01    0.288261041762831701E+05
    0.319376053159137207E-03    0.842283837783680718E-02   -0.319361763679305577E+00   -0.557860809194082030E+01    0.472452981007831568E+03    0.691865789543675169E+00    0.133094436211285716E+01   -0.533872165976004354E+01    0.713705305734776974E+00   -0.158126978909156080E+01   -0.571042959123719207E+01   -0.380947723520375803E+01   -0.767427018829884311E+01    0.288261831258450693E+05
    0.122027695920710346E-02    0.124348796433797204E-01   -0.948367686808236909E+00   -0.681949496902070962E+00    0.443082740632695561E+03    0.981365769181595127E+00    0.130539118919666408E+01   -0.565828134199759969E+01    0.563263310485412450E+00   -0.382643634913182495E+01   -0.411953227110346809E+01   -0.437763751854686056E+01   -0.702481188485602193E+01    0.288262631180930730E+05
    0.688063318326977928E-02    0.223793079593727351E-01    0.279579916807861872E+00   -0.538911509866847105E+00    0.458550720883715826E+03    0.834570868722474102E+00    0.107573860429640833E+01   -0.534805437558553631E+01    0.670693225964471007E+00   -0.227714731600177345E+01   -0.263926859261690971E+01   -0.724202998641386841E+01   -0.696261508201166635E+01    0.288263967510932853E+05
    0.669900492712693331E-05    0.495627170166635100E-01   -0.876765662566739712E+00   -0.360225931943571087E+01    0.473763726346064573E+03    0.875242896880580101E+00    0.186003436811316103E+01   -0.480812578656439626E+01    0.703106428739448841E+00   -0.198549577761343254E+01   -0.308353906404776978E+01   -0.134759210744758740E+01   -0.678796051886974894E+01    0.288264375802233772E+05
