Nested Sampling Global Log-Evidence           :    0.288186066642704172E+05  +/-    0.229666386347417595E+00
Nested Importance Sampling Global Log-Evidence:    0.288172035191593714E+05  +/-    0.390025272098454764E-01

Dim No.       Mean        Sigma
   1    0.527925280081728488E+03    0.230743306868010869E+02
   2   -0.539146576678494949E+01    0.421357408709381265E+00
   3    0.785490919922860686E+00    0.408620221646156107E-01
   4   -0.233539655144842717E+01    0.520013990151014127E+00
   5   -0.298931178638634876E+01    0.944576368756179119E+00
   6   -0.576227504873670870E+01    0.132836079376643701E+01
   7   -0.643241121323132692E+01    0.100419863317035940E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.498479011641188151E+03
   2   -0.599447002594002498E+01
   3    0.757311625849186876E+00
   4   -0.224440210416593544E+01
   5   -0.276206712126897447E+01
   6   -0.650128645930849380E+01
   7   -0.756197054229544907E+01

MAP Parameters
Dim No.        Parameter
   1    0.498479011641188151E+03
   2   -0.599447002594002498E+01
   3    0.757311625849186876E+00
   4   -0.224440210416593544E+01
   5   -0.276206712126897447E+01
   6   -0.650128645930849380E+01
   7   -0.756197054229544907E+01
