    0.861524511690550412E+03    0.122512827754834817E+02   -0.359755250651319081E+00   -0.224258585682681577E+01   -0.161866827837087612E+01    0.285558863563754530E+05
    0.875649015173310659E+03    0.108969862713928300E+02   -0.334567482650972359E+00   -0.265877209348249366E+01   -0.196388125540393510E+01    0.285563588202091196E+05
    0.869218190890858295E+03    0.886466997148441394E+01   -0.347767804483551934E+00   -0.203049978556541610E+01   -0.173084129245221607E+01    0.285569752699698438E+05
    0.875070736093698201E+03    0.114994270810544137E+02   -0.346324037855754163E+00   -0.246486064598952304E+01   -0.149638317548309363E+01    0.285570215457782469E+05
    0.869643496978634630E+03    0.130995109279612407E+02   -0.348640446983440100E+00   -0.231845287133442923E+01   -0.188543638792842749E+01    0.285572768416396539E+05
    0.860334268718124008E+03    0.118244226545287745E+02   -0.370377688312913733E+00   -0.200721104917802862E+01   -0.162175396364516811E+01    0.285575364234689914E+05
    0.866954263627043247E+03    0.128071918306688595E+02   -0.362586476568574234E+00   -0.180840190729704364E+01   -0.160554133607676608E+01    0.285575634503763940E+05
    0.872547012397113349E+03    0.964008289767066628E+01   -0.343741268374171405E+00   -0.216962482720085958E+01   -0.167085280464358910E+01    0.285577354407544626E+05
    0.886440655409417559E+03    0.987541435814506841E+01   -0.327564761733055931E+00   -0.314307585604701956E+01   -0.192083332103886129E+01    0.285578674070527959E+05
    0.864954415342513812E+03    0.140235055579152110E+02   -0.364790420147729222E+00   -0.186585364245588714E+01   -0.159308896784171683E+01    0.285579787210137292E+05
    0.883230414197044183E+03    0.986988721572761563E+01   -0.328151487091091099E+00   -0.280664283177259044E+01   -0.203261075139496672E+01    0.285580006236170884E+05
    0.871107798350762209E+03    0.106114811006778851E+02   -0.348994278344894937E+00   -0.207904590086321761E+01   -0.162295697779805526E+01    0.285580607797868288E+05
    0.864543167820713620E+03    0.142967050748772948E+02   -0.361235112367126021E+00   -0.197638235847268096E+01   -0.174466710816203108E+01    0.285580941136242182E+05
    0.871492204058254060E+03    0.131704444224103021E+02   -0.347302781442746067E+00   -0.236642768678125659E+01   -0.160143271433880940E+01    0.285581733673539529E+05
    0.877997752716861783E+03    0.112627207365487898E+02   -0.336399615737305702E+00   -0.253160104547994713E+01   -0.200014622490961269E+01    0.285582547456661596E+05
