    0.877312660217285156E+03   -0.584981256723403931E+01    0.798686623573303223E+00   -0.232052640914916974E+01   -0.345749962329864502E+01    0.764481750609035225E+04   -0.529831319988485294E+01    1
    0.807981550693511963E+03   -0.585025608539581299E+01    0.941993355751037598E+00   -0.158189839720725978E+01   -0.624032390713691676E+01    0.121446830383377892E+05   -0.530331319988484751E+01    1
    0.504893064498901367E+01   -0.127559655904769897E+01    0.753632009029388428E+00   -0.309190436601638741E+01   -0.225101107358931962E+00    0.139252379441614048E+05   -0.530831319988485095E+01    1
    0.473278760910034180E+01   -0.375579142570495605E+01    0.704253613948822021E+00   -0.295804966092109645E+01   -0.656363019943237269E+01    0.140345969907911076E+05   -0.531331319988484285E+01    1
    0.104532837867736816E+02   -0.127084720134735107E+01    0.810115337371826172E+00   -0.500758445262908580E+00   -0.194615212678909266E+01    0.141070707052341222E+05   -0.531831319988483830E+01    1
    0.213701725006103516E+02   -0.294114649295806885E+00    0.459748446941375732E+00   -0.719882025718689000E+01   -0.428309357166289928E+00    0.141325164381164177E+05   -0.532331319988484530E+01    1
    0.952816009521484375E+01   -0.331641137599945068E+01    0.492186367511749268E+00   -0.291343126893043536E+01   -0.763607023358345050E+01    0.141545585411401498E+05   -0.532831319988484609E+01    1
    0.136049985885620117E+02   -0.461279153823852539E-01    0.354585826396942139E+00   -0.245324441790580750E+01   -0.683890000581741297E+01    0.141927524231996504E+05   -0.533331319988484154E+01    1
    0.275390148162841797E+02    0.878024160861968994E+00    0.364852607250213623E+00   -0.740477983951568586E+01   -0.613239991068840062E+01    0.143258715724787180E+05   -0.533831319988483788E+01    1
    0.155494213104248047E+02   -0.438608622550964355E+01    0.276433289051055908E+00   -0.175615479350090009E+01   -0.764152016043663007E+01    0.143385687629702679E+05   -0.534331319988483511E+01    1
    0.307384729385375977E+02   -0.509640574455261230E-01    0.752156317234039307E+00   -0.761479272842407262E+01   -0.585740697979927027E+01    0.143922918373222110E+05   -0.534831319988484299E+01    1
    0.184673666954040527E+02   -0.441700607538223267E+01    0.669422805309295654E+00   -0.417345727682113576E+01   -0.591899623870849645E+01    0.145381621935695730E+05   -0.535331319988485443E+01    1
    0.118910014629364014E+03   -0.229656493663787842E+01    0.451525926589965820E+00   -0.585394980311393720E+01   -0.104674392938613359E+00    0.145766888583542604E+05   -0.535831319988483568E+01    1
