    0.252822208404541016E+03    0.234487851027481318E-02    0.752358531951904297E+01   -0.278252863883972168E+01    0.148799234926700596E+01   -0.216617345809936523E+01    0.797742545604705811E+00   -0.128452724218368175E+00   -0.192378473281859641E+00   -0.999999999999999967E+99   -0.460515351937698814E+01    1
    0.476227760314941406E+02    0.280966108523711261E-01    0.815900182723999023E+01   -0.593582725524902344E+01    0.215923363566398629E+01   -0.252148777246475220E+01    0.312702953815460205E+00   -0.748756985068321246E+01   -0.173328214883803788E+00    0.142130170186961695E+05   -0.461515351937698259E+01    1
    0.300609111785888672E+02    0.234551387356509572E-02    0.604524421691894531E+01   -0.160764527320861816E+01    0.250321039259433764E+01   -0.352167278528213501E+01    0.158221960067749023E+00   -0.260047221183776323E+00   -0.833264255523681108E+00    0.142552975020014910E+05   -0.462515351937698149E+01    1
    0.169426441192626953E+02    0.294906633319957645E+00    0.709746742248535156E+01   -0.338360989093780518E+01    0.119471261501312265E+01   -0.458358526229858398E+01    0.930534005165100098E+00   -0.515026272535324026E+01   -0.704024499654769897E+01    0.143483054893489752E+05   -0.463515351937698661E+01    1
    0.234152793884277344E+02    0.211723559145698986E+00    0.102161469459533691E+02   -0.288212084770202637E+01    0.228243992328643808E+01   -0.869846343994140625E-01    0.271911621093750000E-01   -0.391038506031036359E+01   -0.497037558555603010E+01    0.143531022477168754E+05   -0.464515351937698728E+01    1
    0.306949138641357422E+02    0.282835108400719459E+00    0.908766841888427734E+01   -0.310795783996582031E+01    0.285756059288978559E+01   -0.111190706491470337E+01    0.210958719253540039E-01   -0.288252103924751246E+01   -0.132656551003456080E+01    0.145461468854083851E+05   -0.465515351937698174E+01    1
    0.317937850952148438E+02    0.446128489666391570E+00    0.632482814788818359E+01   -0.200685131549835205E+01    0.123756347894668584E+01   -0.207108110189437866E+01    0.264268517494201660E+00   -0.756288233995437587E+01   -0.594160255789756775E+01    0.146182029629262124E+05   -0.466515351937698153E+01    1
    0.343242168426513672E+02    0.317818915858312998E-01    0.924919843673706055E+01   -0.481287252902984619E+01    0.120360832214355473E+01   -0.411080211400985718E+01    0.333677530288696289E-01   -0.586735349893569236E+00   -0.404574233293533325E+01    0.146431813701610390E+05   -0.467515351937698398E+01    1
    0.361297130584716797E+02    0.432153404758052907E-02    0.685274362564086914E+01   -0.330208539962768555E+01    0.270410139262676230E+01   -0.124542564153671265E+01    0.667969942092895508E+00   -0.583554464578628540E+01   -0.695680187940597516E+01    0.150079928692008798E+05   -0.468515351937698377E+01    1
    0.421083450317382812E+02    0.708865474090731862E-01    0.865458869934082031E+01   -0.490459835529327393E+01    0.210784342288970938E+01   -0.976119041442871094E+00    0.487411677837371826E+00   -0.658092361688613892E+01   -0.268908818960189766E+01    0.150175056277470412E+05   -0.469515351937698444E+01    1
    0.898375034332275391E+02    0.652237193337196729E-02    0.412064695358276367E+01   -0.418866741657257080E+01    0.144364933669567108E+01   -0.169024705886840820E+01    0.271448194980621338E+00   -0.745666338801383954E+01   -0.525764144659042287E+01    0.151758509327460197E+05   -0.470515351937698423E+01    1
    0.425497531890869141E+02    0.251057040868400361E+00    0.491281175613403320E+01   -0.357352817058563232E+01    0.110844531655311584E+01   -0.218725651502609253E+01    0.791032075881958008E+00   -0.473319169878959656E+01   -0.292274520993232745E+01    0.151863528865444950E+05   -0.471515351937698135E+01    1
    0.681995391845703125E+02    0.208469003555776550E+00    0.607724332809448242E+01   -0.464235019683837891E+01    0.184215681552886967E+01   -0.309262216091156006E+01    0.471736133098602295E+00   -0.279145866632461548E+01   -0.771094198226928729E+01    0.153859534858771622E+05   -0.472515351937698025E+01    1
