    0.277370313925659048E+03    0.153282370231694529E+03    0.112514442058796373E-01   -0.170331586861566553E+01    0.625143454893784395E-01    0.116795714984299188E+02   -0.337790829734468367E+01    0.202618105347764654E+01   -0.108008121131485524E+01    0.598401085173912106E+00   -0.125925719947246151E+01   -0.165544228324453790E+01   -0.125288628170327865E+01   -0.479296617765681177E+01    0.288246230186606408E+05
    0.229666973602883331E+03    0.274868745238663507E+03    0.497880795371947946E-01   -0.173989901622662790E+01    0.294932872850565721E-01    0.943585405423234391E+01   -0.308801728703039613E+01    0.131191065770875115E+01   -0.161848486103658251E+01    0.490262737958265360E+00   -0.172838450087678108E+01   -0.356826047046809514E+01   -0.592557689057294823E+01   -0.451286823628770772E+01    0.288252174297369638E+05
    0.226166129960533766E+03    0.302127766168349240E+03    0.361041774028369788E+00   -0.689933237383612230E+00    0.121269667755017019E+00    0.687796614926120142E+01   -0.278305858159797026E+01    0.222124847338443265E+01   -0.106305416774720873E+01    0.742992013625849879E+00   -0.167562945390264417E+01   -0.415166133613609212E+00   -0.615610336250138168E+01   -0.719679940429877796E+01    0.288252626205248234E+05
    0.245699716169008354E+03    0.155380882649392305E+03    0.379322543600039003E-01   -0.151516952420910078E+01    0.874259424405464045E-02    0.795420708375313446E+01   -0.384791054163638346E+01    0.268286597458575526E+01   -0.219518810525530617E+01    0.533569756351392477E+00   -0.257719954254542305E+01   -0.541839259168365484E+01   -0.385275047290315609E+01   -0.711045547349512841E+01    0.288271403503858237E+05
    0.183266875941627262E+03    0.240395579832323591E+03    0.678043374400750398E+01   -0.101018306899285037E+01    0.410521104776832985E-01    0.102924962560933952E+02   -0.155436665969926402E+01    0.177416989475784059E+01   -0.448160492365668794E+01    0.451991675498997769E+00   -0.666707738831862962E+00   -0.209334043848312756E+01   -0.442376303205347643E+01   -0.410145173748213310E+01    0.288277205608002805E+05
    0.144329902559716288E+03    0.294953071349739901E+03    0.211926466180706007E-01   -0.162158664352916393E+01    0.183535533237568105E+00    0.103444373167328720E+02   -0.209034953998166584E+01    0.165911992087633453E+01   -0.224606004107630719E+01    0.514922178073731862E+00   -0.207846728186030827E+01   -0.324152744410934002E+01   -0.429637467999337286E+01   -0.604515812781776507E+01    0.288278039648395461E+05
    0.369924466222892192E+03    0.114528784680672914E+03    0.451784037942786210E-01   -0.262845011978287424E+01    0.711851274730021105E-01    0.110510347680785497E+02   -0.280666110877889574E+01    0.220851080478104667E+01   -0.105298438055114563E+01    0.523543619385992587E+00   -0.233119460975479953E+01   -0.135502790913658089E+01   -0.631447126105283107E+01   -0.450991533784092802E+01    0.288278429385413292E+05
    0.428248189596231441E+03    0.739435646766695527E+02    0.340242441295517672E+00   -0.232311323124811553E+01    0.143329021960090203E+00    0.906039865315720938E+01   -0.349803477689291897E+01    0.216646333237061484E+01   -0.345398786558727000E+01    0.514340952110594274E+00   -0.787303328150462889E+00   -0.867240719273352667E+00   -0.426921926803465990E+01   -0.798848089790346805E+01    0.288278640586704205E+05
    0.189809833407853034E+03    0.281233420611921986E+03    0.910391841909851607E+01   -0.178202685882339606E+01    0.249049860434644360E+00    0.929826686111898582E+01   -0.104101034233450029E+01    0.209406370410169185E+01   -0.233362076033508714E+01    0.528509075773247461E+00   -0.201229239086635303E+01   -0.300847990589930347E+01   -0.471967870211989649E+01   -0.773073271156304997E+01    0.288280266762987121E+05
    0.278000049701084038E+03    0.896034794749870258E+02    0.401737745288321246E+01   -0.186030248046594071E+01    0.413009525160995483E+00    0.971781587146422865E+01   -0.285128417210608021E+01    0.234759599685449238E+01   -0.187787310223223969E+01    0.483442374708767109E+00   -0.234679046130149871E+01   -0.311479254640730918E+01   -0.341597206268822084E+01   -0.642883219148170859E+01    0.288282240983200099E+05
