    0.907112836837768555E+03    0.147259940759155317E+01   -0.172575438022613525E+01   -0.633577692508697332E+00   -0.336113584041594748E+00   -0.226641815900801902E+00   -0.999999999999999967E+99   -0.391195633965034517E+01    1
    0.984027326107025146E+03    0.571825687018977007E+02    0.683213233947753906E+00   -0.468290630578994715E+01   -0.630827000141143834E+01   -0.494223929047584498E+01   -0.316929930571633740E+05   -0.393195633965034208E+01    1
    0.957202553749084473E+03    0.911259715979627316E+02    0.284038245677947998E+00   -0.310844014286994952E+01   -0.730361009836196917E+01   -0.654552894830703558E+00    0.114540719420153273E+05   -0.395195633965034165E+01    1
    0.576782226562500000E+01    0.280332262641720897E+00   -0.285896414518356323E+01   -0.766329114437103254E+01   -0.525072332620620763E+01   -0.177721569538116420E+01    0.140529023186954237E+05   -0.397195633965034300E+01    1
    0.814056396484375000E+01    0.157226868931748704E+02   -0.393158042430877686E+01   -0.313301613926887512E+01   -0.319854851961135811E+01   -0.472930319905281049E+01    0.141786614079100618E+05   -0.399195633965034391E+01    1
    0.116666555404663086E+02    0.426749213608707545E+00   -0.246678078174591064E+01   -0.424642950892448390E+01   -0.244391964673995954E+01   -0.729658320546150208E+01    0.142724883442235950E+05   -0.401195633965034215E+01    1
    0.174880623817443848E+02    0.529648586704435509E+01    0.604194164276123047E+00   -0.546355789899825695E+00   -0.359870377182960510E+01   -0.633305836319923365E+01    0.145871425330991406E+05   -0.403195633965034173E+01    1
    0.816395282745361328E+02    0.181839861794534680E+00   -0.391211563348770142E+01   -0.619642077684402448E+01   -0.697239449024200475E+01   -0.756288940310478175E+01    0.156621486646521953E+05   -0.405195633965034396E+01    1
    0.146847248077392578E+03    0.295730586135529369E-01   -0.305587136745452881E+01   -0.565602874755859020E+00   -0.736792451143264415E+00   -0.645002884268760646E+01    0.165981149305087893E+05   -0.407195633965034443E+01    1
    0.202006995677947998E+03    0.262347617658919952E+00   -0.343071007728576660E+01   -0.450779338479042035E+01   -0.370537966489791870E+00   -0.982264709472655539E+00    0.167005674019809521E+05   -0.409195633965034400E+01    1
    0.970113277435302734E+02    0.211116075072285936E+01   -0.259405994415283203E+01   -0.292757875919342059E+01   -0.839641809463500977E+00   -0.373716977238655090E+01    0.168175238123670897E+05   -0.411195633965034357E+01    1
    0.154119908809661865E+03    0.130307309155875024E-01   -0.135071480274200439E+01   -0.178609642982482875E+01   -0.664869803190231146E+00   -0.290086780786514264E+01    0.174103476939518987E+05   -0.413195633965034226E+01    1
    0.114878773689270020E+03    0.395508923238546348E-01   -0.753157675266265869E+00   -0.620321552753448469E+01   -0.656424516439437866E+01   -0.465767390727996755E+01    0.175766975829266485E+05   -0.415195633965034450E+01    1
    0.118208885192871094E+03    0.651674737528828558E+02   -0.349263721704483032E+01   -0.711049151420592551E+00   -0.460824268460273778E+01   -0.384941170811653155E+01    0.178164108320386003E+05   -0.417195633965034762E+01    1
    0.173126280307769775E+03    0.256728107394245467E-01   -0.234052205085754395E+01   -0.498563057780265773E+01   -0.795630593895912153E+01   -0.243449363708496058E+01    0.178880727307123925E+05   -0.419195633965034720E+01    1
    0.454802989959716797E+03    0.101720977815429159E+00   -0.290791034698486328E+00   -0.217940560579299891E+01   -0.104071199893951416E+00   -0.793493520021438581E+01    0.182466983037530445E+05   -0.421195633965034677E+01    1
    0.258880555629730225E+03    0.530731050039586066E-01   -0.155938202142715454E+01   -0.928150618076323930E+00   -0.320596435666084290E+01   -0.356579297780990068E+00    0.184362796722805542E+05   -0.423195633965034279E+01    1
    0.179148197174072266E+03    0.372578487510386747E+00   -0.347419321537017822E+00   -0.406707916855812002E+01   -0.549121248722076238E+00   -0.977865779399871293E+00    0.185234007708804893E+05   -0.425195633965034059E+01    1
    0.126829504966735840E+03    0.279113443051207248E+02   -0.308599734306335449E+01   -0.329956287145614624E+01   -0.500727819204330427E+01   -0.543793683648109472E+01    0.187271898484608682E+05   -0.427195633965034727E+01    1
    0.776002109050750732E+03    0.351483831233583430E+02   -0.475061178207397461E+00   -0.738854401111602765E+01   -0.128835104107856679E+01   -0.616572244167327899E+01    0.187795673382493478E+05   -0.429195633965034329E+01    1
    0.220423877239227295E+03    0.558688808095999745E+00   -0.378959619998931885E+01   -0.679722741842269862E+01   -0.621297115087509155E+01   -0.905873912572860540E+00    0.188676002514540160E+05   -0.431195633965034109E+01    1
