    0.576670370697861586E+03   -0.189125377027754560E+01    0.826914911835019195E+00   -0.362633618955526504E+01   -0.211307525493583537E+01    0.218134367402299034E+01   -0.255267969616954549E+01   -0.358349570900502989E+01   -0.341416508330417567E+01   -0.282105825363605600E+01    0.288171391720596512E+05
    0.539021319921496115E+03   -0.135102542333938480E+01    0.683821759863663448E+00   -0.354038308267926682E+01   -0.281823435615785067E+01    0.282220247255823553E+01   -0.183613096554591149E+01   -0.722907318576062341E+01   -0.434418993794128649E+01   -0.607307692549503919E+01    0.288192899839836973E+05
    0.643880067490126635E+03   -0.480184931159052475E+00    0.964747417721497302E+00   -0.251121436908668372E+01   -0.576686037972905297E+00    0.195104028016615283E+01   -0.340224733784870637E+01   -0.483136386916828098E+01   -0.640936493037269095E+01   -0.451153063001467203E+01    0.288196469091252147E+05
    0.602718879876313849E+03   -0.311748998234676833E+00    0.183909269957567134E+01   -0.302811472722034747E+01   -0.229726576784773018E+01    0.260581527500250498E+01   -0.238262873728295599E+01   -0.277054012253693127E+01   -0.342690093525492490E+01   -0.751844927832611187E+01    0.288200464463235912E+05
    0.524154545216625024E+03   -0.122228681815652429E+01    0.208369963970149508E+01   -0.306015747691175877E+01   -0.427884316121715624E+01    0.215022761882405433E+01   -0.224988600384491555E+01   -0.363092336976648955E+01   -0.798578061893786639E+01   -0.411699306347778649E+01    0.288200614498910436E+05
    0.605831290060548213E+03   -0.661186438559409950E+00    0.227865334526759167E+01   -0.306747787347056722E+01   -0.257179335598845782E+01    0.173781561272105822E+01   -0.252682470069217313E+01   -0.336856182725282860E+01   -0.236482076079813019E+01   -0.703895335030206581E+01    0.288204944539900716E+05
    0.587758343118373318E+03   -0.237728406872359255E+01    0.103479897503440865E+01   -0.346423931529107332E+01   -0.239796833226198025E+01    0.153055917628685689E+01   -0.211437095277007181E+01   -0.406123386734185221E+01   -0.690026457192866438E+01   -0.359859799436927030E+01    0.288205141282308032E+05
    0.643038130577424340E+03   -0.392013460616304599E+00    0.181446786006668703E+01   -0.142975288284651647E+01   -0.224750313547382996E+01    0.158708513839051069E+01   -0.308644544906994422E+01   -0.347718499401471526E+01   -0.246928114219389094E+01   -0.632092591229850509E+01    0.288205559491556633E+05
    0.576633895090459191E+03   -0.930144805135864061E-01    0.131583935289950760E+01   -0.121734660451292953E+01   -0.281490308348628382E+01    0.111467669834470673E+01   -0.204090142977021305E+01   -0.642997911249422138E+01   -0.637547479959754426E+01   -0.573258175206850140E+01    0.288207293659544412E+05
    0.547511201787511368E+03   -0.359883284421274041E-01    0.118475791861739532E+01   -0.273276402066560964E+01   -0.240223112847176568E+01    0.151371461945630004E+01   -0.152740839353234836E+01   -0.319737246263506592E+01   -0.521827910142684637E+01   -0.255878936827726289E+01    0.288208840507742570E+05
    0.534445288951687303E+03   -0.752952565814466013E+00    0.207126392666279857E+01   -0.295632474601491868E+01   -0.394077883996693901E+01    0.147816888362080601E+01   -0.126583835699051050E+01   -0.381094921240276818E+01   -0.420124325406129273E+01   -0.434106282094931117E+01    0.288209525752973859E+05
    0.625872040019550695E+03   -0.387571960702269180E+00    0.220115609191193684E+01   -0.353104396939675924E+01   -0.208958056349943577E+01    0.244365812696105600E+01   -0.286883492868633727E+01   -0.316724902222561511E+01   -0.207308407768678116E+01   -0.668246206172959134E+01    0.288213359389103862E+05
    0.523717303579498889E+03   -0.872243906374882805E+00    0.194254827289085585E+01   -0.286001987005543068E+01   -0.445079753612917983E+01    0.240437184666652293E+01   -0.208133102335526310E+01   -0.604624906133444817E+01   -0.504167813183729940E+01   -0.581421165647568206E+01    0.288214786351053554E+05
