Nested Sampling Global Log-Evidence           :    0.288200156502819227E+05  +/-    0.218802002299962745E+00
Nested Importance Sampling Global Log-Evidence:    0.288188884879872094E+05  +/-    0.758493461503309541E-01

Dim No.       Mean        Sigma
   1    0.528612288744804914E+03    0.247221417463076847E+02
   2   -0.539424004216485731E+01    0.444726089031960647E+00
   3    0.785293972294327847E+00    0.403064850795585780E-01
   4   -0.237359901432227582E+01    0.545277999673904001E+00
   5   -0.294357847908071468E+01    0.863028820195078761E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.503279796266327992E+03
   2   -0.592173526497135061E+01
   3    0.756045700325668535E+00
   4   -0.230964194324838168E+01
   5   -0.238797911680714314E+01

MAP Parameters
Dim No.        Parameter
   1    0.503279796266327992E+03
   2   -0.592173526497135061E+01
   3    0.756045700325668535E+00
   4   -0.230964194324838168E+01
   5   -0.238797911680714314E+01
